Age,Gender,Senior Citizen,Time of Visit
41,Female,No,2024-08-08 15:11:42
31,Female,No,2024-08-08 15:11:42
31,Female,No,2024-08-08 15:11:43
35,Female,No,2024-08-08 15:11:43
35,Female,No,2024-08-08 15:11:43
31,Female,No,2024-08-08 15:11:44
33,Female,No,2024-08-08 15:11:44
26,Female,No,2024-08-08 15:11:47
26,Female,No,2024-08-08 15:11:47
26,Female,No,2024-08-08 15:11:48
26,Female,No,2024-08-08 15:11:48
26,Female,No,2024-08-08 15:11:49
26,Female,No,2024-08-08 15:11:49
26,Female,No,2024-08-08 15:11:49
26,Female,No,2024-08-08 15:11:50
25,Male,No,2024-08-08 15:11:54
25,Male,No,2024-08-08 15:11:55
25,Male,No,2024-08-08 15:11:55
25,Male,No,2024-08-08 15:11:55
26,Male,No,2024-08-08 15:11:56
